Mixture	T1021	T1025	T1027	T1031	T1041	T113	P-value	Correlation	RMSE
B cells naive	0.142612948348727	0	0	0.685557101283296	0.171829950367977	0	0	0.130509949450798	1.2885618078372
B cells memory	0.103331141008985	0	0	0.722847260098914	0.173821598892101	0	0	0.149528808445693	1.28159795144428
Plasma cells	0.323846898414555	0	0	0.443402821065522	0.232750280519923	0	0	0.111061985644888	1.27705011415083
T cells CD8	0	0	0	0.618877064893568	0.137614791253639	0.243508143852793	0	0.217159836258501	1.22960845405323
T cells CD4 naive	0	0.0367992051212668	0	0.606919791108785	0.0987753368603868	0.257505666909561	0	0.188313534088023	1.24746454554808
T cells CD4 memory resting	0	0	0	0.567853907182941	0.0503041655403547	0.381841927276704	0	0.209900395384696	1.23336290877457
T cells CD4 memory activated	0	0	0	0.627382468968642	0	0.372617531031358	0	0.136269784523965	1.29348721574462
T cells follicular helper	0	0.0669221887761232	0	0.732017499199667	0.0292019039771249	0.171858408047085	0	0.207959046949181	1.24269611609174
T cells regulatory (Tregs)	0	0	0	0.567960399287037	0.16375326842508	0.268286332287884	0	0.192112309690188	1.24401699389989
T cells gamma delta	0	0	0	0.492509529083712	0.161412434946581	0.346078035969707	0	0.188859010889932	1.24165465667582
NK cells resting	0	0	0.0106769059143435	0.286224699628047	0.116941218481917	0.586157175975693	0	0.156666553773326	1.26126121612309
NK cells activated	0	0	0	0.444820642017481	0	0.555179357982519	0	0.165305407170981	1.26430431058427
Monocytes	0	0	0.213885706329905	0.295543742749602	0.154212714543584	0.336357836376909	0.01	0.0887416031852659	1.28875687030276
Macrophages M0	0.17729135350938	0	0.135790100358559	0.303070322694581	0.239710981518251	0.144137241919229	0	0.172310218402977	1.22371652357336
Macrophages M1	0.072211249391157	0	0	0.272938457761284	0.207839023212967	0.447011269634591	0	0.176578653599145	1.23733021190437
Macrophages M2	0	0.0786289551505862	0.292250103359867	0	0.371184157918866	0.257936783570681	0	0.149786373593018	1.24262062757611
Dendritic cells resting	0	0.018295122916529	0.381803121069675	0.295905897964771	0.288017460403664	0.0159783976453612	0.04	0.0733602501973722	1.29243800390293
Dendritic cells activated	0.218629663654036	0	0	0.113911169615061	0.207895455390869	0.459563711340034	0	0.11501956088047	1.27700192393623
Mast cells resting	0	0.205695966087815	0.0902868181454128	0	0.58435830836698	0.119658907399793	0.875	-0.0426829198228079	1.37632570840112
Mast cells activated	0.124901003875563	0	0	0	0.626676462767411	0.248422533357026	0.835	-0.0346036563859357	1.38317345062164
Eosinophils	0	0	0	0.427196264456654	0.572803735543346	0	0.69	-0.0148193591780964	1.38842051975748
Neutrophils	0	0	0.00226911031673681	0.0053979875953771	0.403324499604251	0.589008402483635	0.5	0.0104055143115707	1.36206808653364
